,feature_name,feature_idx,weight,abs_weight
0,_SolventAccessibilityD2001,0,0.006921471205512765,0.006921471205512765
1,YM,1,-0.03691485289540905,0.03691485289540905
2,WC,2,-0.05200947699404621,0.05200947699404621
5,GW,5,-0.01619700945224331,0.01619700945224331
10,VN,10,-0.016157047688606065,0.016157047688606065
12,WF,12,-0.046531599085040606,0.046531599085040606
13,GearyAuto_Hydrophobicity9,13,-0.015291426165950353,0.015291426165950353
15,AA,15,0.006607853595201557,0.006607853595201557
17,QSOgrant5,17,0.02823257837470001,0.02823257837470001
19,WV,19,-0.021955415621301454,0.021955415621301454
20,FQ,20,-0.00562370304567162,0.00562370304567162
22,CA,22,0.04965743553290317,0.04965743553290317
24,MoranAuto_ResidueASA27,24,-0.03413628727863567,0.03413628727863567
26,MoranAuto_Hydrophobicity4,26,0.011137017851248775,0.011137017851248775
30,GC,30,0.013055115387971297,0.013055115387971297
35,PY,35,-0.02372752552681539,0.02372752552681539
37,GearyAuto_Mutability2,37,0.008111073279297049,0.008111073279297049
39,_SolventAccessibilityC1,39,-0.21453008140034363,0.21453008140034363
40,YC,40,0.006320688112241302,0.006320688112241302
41,LM,41,0.010536249072759924,0.010536249072759924
42,AR,42,0.029059516287708132,0.029059516287708132
43,H,43,0.02584830561553527,0.02584830561553527
45,QY,45,-0.019492300674938103,0.019492300674938103
47,MoreauBrotoAuto_ResidueVol22,47,0.012127043645143592,0.012127043645143592
49,RW,49,-0.04699165973161366,0.04699165973161366
52,_PolarityT23,52,-0.0061694001980039685,0.0061694001980039685
53,RF,53,-0.038460620609266014,0.038460620609266014
56,PV,56,0.019219168187009306,0.019219168187009306
58,_SecondaryStrD2050,58,-0.05977600660220914,0.05977600660220914
60,ST,60,-0.0051934877602000384,0.0051934877602000384
61,AF,61,0.04826020827987843,0.04826020827987843
63,VC,63,-0.020984087377885437,0.020984087377885437
64,YY,64,0.01355198484830968,0.01355198484830968
67,KH,67,0.0348028564438107,0.0348028564438107
69,QT,69,-0.014677911732651257,0.014677911732651257
70,MoranAuto_Steric14,70,-0.02635455415909203,0.02635455415909203
72,QSOgrant20,72,0.05682505988650486,0.05682505988650486
74,MoreauBrotoAuto_ResidueVol9,74,-0.045819292615950115,0.045819292615950115
75,GD,75,-0.03584931396251486,0.03584931396251486
76,MoreauBrotoAuto_AvFlexibility27,76,-0.010325422558749032,0.010325422558749032
77,_NormalizedVDWVD2075,77,-0.0888267845229671,0.0888267845229671
78,TW,78,0.00974414522908281,0.00974414522908281
81,QSOgrant29,81,-0.005847586177171132,0.005847586177171132
83,AS,83,0.05281752196142625,0.05281752196142625
84,_PolarityC3,84,0.08406166392438655,0.08406166392438655
85,RH,85,-0.016721104277790787,0.016721104277790787
88,YE,88,-0.03051355215769035,0.03051355215769035
90,GearyAuto_FreeEnergy2,90,-0.06972736333641334,0.06972736333641334
91,FC,91,-0.05314207939197017,0.05314207939197017
92,HC,92,0.016388093312117134,0.016388093312117134
93,_NormalizedVDWVD1050,93,-0.03754506020582195,0.03754506020582195
96,GearyAuto_AvFlexibility4,96,0.037515902539592694,0.037515902539592694
97,VR,97,0.029323850566757646,0.029323850566757646
98,MoreauBrotoAuto_AvFlexibility19,98,-0.05316158529410111,0.05316158529410111
100,IY,100,0.022798111492301855,0.022798111492301855
103,QSOgrant6,103,0.018439077112271628,0.018439077112271628
104,MoranAuto_AvFlexibility11,104,-0.02772521203719675,0.02772521203719675
107,_NormalizedVDWVD3050,107,-0.09416332263782351,0.09416332263782351
109,SQ,109,-0.006633611201352497,0.006633611201352497
110,MoranAuto_Steric3,110,-0.05165608514267367,0.05165608514267367
112,WL,112,0.016384401819685163,0.016384401819685163
114,GearyAuto_Polarizability9,114,0.005387175187439431,0.005387175187439431
115,FA,115,0.011978364693784152,0.011978364693784152
117,APAAC21,117,0.023383872163379418,0.023383872163379418
118,LS,118,-0.006352183313130896,0.006352183313130896
121,VP,121,0.03246444205321162,0.03246444205321162
124,MoranAuto_Mutability4,124,0.021525393683642625,0.021525393683642625
125,GearyAuto_AvFlexibility3,125,0.0064065320738002805,0.0064065320738002805
127,CP,127,0.008138238318075681,0.008138238318075681
129,WM,129,-0.03198292768630419,0.03198292768630419
130,MoreauBrotoAuto_Steric15,130,-0.007093557564549202,0.007093557564549202
133,APAAC23,133,-0.04057980336602554,0.04057980336602554
134,QP,134,0.007983138171434118,0.007983138171434118
135,_SolventAccessibilityD1100,135,0.010013309338964087,0.010013309338964087
138,MoranAuto_Steric17,138,-0.007326176470880835,0.007326176470880835
139,WW,139,-0.031924964020698096,0.031924964020698096
140,GearyAuto_ResidueASA2,140,0.006532405529865665,0.006532405529865665
142,AH,142,0.010855294951149036,0.010855294951149036
143,YA,143,-0.00548656590145575,0.00548656590145575
144,APAAC6,144,0.006247963919805599,0.006247963919805599
145,HH,145,-0.008595127269522593,0.008595127269522593
147,QSOSW28,147,0.02673557836742968,0.02673557836742968
149,_NormalizedVDWVD3100,149,-0.009353081818945747,0.009353081818945747
150,MG,150,0.01730339233123195,0.01730339233123195
152,GearyAuto_AvFlexibility9,152,0.005928642323712571,0.005928642323712571
153,MoreauBrotoAuto_Steric3,153,-0.013300678966929717,0.013300678966929717
154,GN,154,0.03424657904934997,0.03424657904934997
155,_HydrophobicityD3075,155,0.02954342981210284,0.02954342981210284
156,KG,156,0.043238793495022514,0.043238793495022514
157,CD,157,0.03363693067677316,0.03363693067677316
159,DC,159,0.009079026363676771,0.009079026363676771
160,VT,160,0.00697744939999084,0.00697744939999084
163,AP,163,0.020771200413909015,0.020771200413909015
164,_NormalizedVDWVD2025,164,0.05929056572855944,0.05929056572855944
165,KM,165,-0.017772503151661876,0.017772503151661876
166,QSOgrant14,166,0.03376250063978781,0.03376250063978781
169,MoreauBrotoAuto_Hydrophobicity3,169,-0.015831371733642637,0.015831371733642637
170,KE,170,0.028585062525557238,0.028585062525557238
171,TD,171,-0.00793760287982971,0.00793760287982971
172,_PolarizabilityC3,172,-0.05408972331533727,0.05408972331533727
173,FE,173,0.023711838340335946,0.023711838340335946
174,YP,174,-0.00891400667399721,0.00891400667399721
176,AL,176,-0.03850933900242371,0.03850933900242371
179,GearyAuto_Hydrophobicity13,179,-0.08030197159053132,0.08030197159053132
180,IH,180,-0.006668258383837643,0.006668258383837643
181,PK,181,-0.04045716147910491,0.04045716147910491
182,MoreauBrotoAuto_ResidueVol24,182,0.01906057545563612,0.01906057545563612
184,PH,184,0.0073292098965191494,0.0073292098965191494
