,feature_name,feature_idx,weight,abs_weight
4,GearyAuto_Polarizability6,4,0.022285747830093214,0.022285747830093214
5,GearyAuto_AvFlexibility1,5,-0.005944919347719379,0.005944919347719379
7,WC,7,-0.026941560724444775,0.026941560724444775
10,QSOgrant16,10,-0.00768664290339707,0.00768664290339707
11,VI,11,-0.007471324620309516,0.007471324620309516
13,_NormalizedVDWVD1100,13,-0.04739002968661496,0.04739002968661496
16,SK,16,0.0053934635426777025,0.0053934635426777025
17,GearyAuto_ResidueASA7,17,-0.01615728296363974,0.01615728296363974
20,QSOgrant8,20,0.044149405594938476,0.044149405594938476
21,HL,21,0.007620518954545914,0.007620518954545914
22,PA,22,0.006400173871986515,0.006400173871986515
23,MoreauBrotoAuto_Hydrophobicity4,23,-0.018820127404035016,0.018820127404035016
26,WP,26,-0.02834481610137902,0.02834481610137902
27,MoranAuto_Steric3,27,0.005386032374262858,0.005386032374262858
28,QSOgrant3,28,0.023790457263428284,0.023790457263428284
31,VV,31,-0.017587015416765724,0.017587015416765724
35,YV,35,0.005608357122369577,0.005608357122369577
36,NS,36,0.004899217047388271,0.004899217047388271
38,RV,38,-0.03776950410706735,0.03776950410706735
39,_SolventAccessibilityD3100,39,0.004820231162534525,0.004820231162534525
40,PQ,40,0.005376738393721108,0.005376738393721108
41,LR,41,0.010980026474233512,0.010980026474233512
42,AS,42,0.04691512148752544,0.04691512148752544
43,PAAC8,43,-0.04762834673863568,0.04762834673863568
47,CN,47,-0.009473681643370004,0.009473681643370004
48,_ChargeT12,48,-0.13446066761775655,0.13446066761775655
50,HQ,50,0.023296587928544412,0.023296587928544412
51,MoreauBrotoAuto_Steric2,51,0.05693086058276707,0.05693086058276707
53,VL,53,-0.03201161013849761,0.03201161013849761
55,CF,55,-0.012236009552547916,0.012236009552547916
58,VP,58,0.023632112134231227,0.023632112134231227
59,_PolarizabilityD3050,59,0.01845641259799207,0.01845641259799207
60,WN,60,-0.025552755993087872,0.025552755993087872
61,MS,61,-0.009027234237322122,0.009027234237322122
62,tausw4,62,0.008492555934053639,0.008492555934053639
64,GH,64,0.005743789008230759,0.005743789008230759
65,LP,65,0.007934277948002189,0.007934277948002189
68,GR,68,-0.004571101359844386,0.004571101359844386
69,_HydrophobicityC1,69,0.04567489146100952,0.04567489146100952
73,MoranAuto_Steric2,73,-0.011729306452260734,0.011729306452260734
75,NN,75,-0.009746012915877204,0.009746012915877204
77,AE,77,-0.0058179512308988495,0.0058179512308988495
79,YR,79,0.005203418197149908,0.005203418197149908
81,VQ,81,0.012501458634982079,0.012501458634982079
83,MoreauBrotoAuto_AvFlexibility4,83,0.00885362649796764,0.00885362649796764
85,QSOgrant7,85,0.036751622712089725,0.036751622712089725
86,APAAC6,86,0.017898945013423158,0.017898945013423158
87,MoranAuto_Steric5,87,-0.014985834470872417,0.014985834470872417
91,DI,91,0.02669242583694802,0.02669242583694802
92,FL,92,0.020231934964022306,0.020231934964022306
94,_SecondaryStrD2100,94,-0.008338774755953123,0.008338774755953123
95,LT,95,-0.015914890401013865,0.015914890401013865
99,QSOSW31,99,-0.035612061353071114,0.035612061353071114
100,DA,100,0.007712529982352172,0.007712529982352172
102,_ChargeC2,102,-0.0059253943154967525,0.0059253943154967525
108,PAAC20,108,0.08227757088490936,0.08227757088490936
109,MI,109,0.018887306510843173,0.018887306510843173
112,HP,112,-0.04113244592675934,0.04113244592675934
113,_ChargeD1025,113,0.006613711054054498,0.006613711054054498
114,HF,114,0.016043140597525502,0.016043140597525502
116,GearyAuto_Hydrophobicity19,116,-0.02476606400249886,0.02476606400249886
117,DP,117,0.01242191939271102,0.01242191939271102
118,GearyAuto_Mutability8,118,-0.005525618220080726,0.005525618220080726
120,QSOSW11,120,0.015269873130540701,0.015269873130540701
121,HT,121,-0.00883983467563472,0.00883983467563472
122,MoreauBrotoAuto_FreeEnergy10,122,-0.023153204685133582,0.023153204685133582
124,APAAC9,124,0.006662890816950003,0.006662890816950003
125,PAAC22,125,-0.004678168007164625,0.004678168007164625
126,CV,126,-0.046730633979024064,0.046730633979024064
128,_SecondaryStrC3,128,0.05121058826001418,0.05121058826001418
130,EH,130,0.020825913642203712,0.020825913642203712
131,IP,131,-0.007281671734225631,0.007281671734225631
132,_ChargeD2100,132,0.05386795980110165,0.05386795980110165
133,AT,133,-0.012087210319737307,0.012087210319737307
134,GearyAuto_Mutability5,134,0.013345450862416083,0.013345450862416083
136,GearyAuto_AvFlexibility11,136,-0.009741048881860162,0.009741048881860162
138,PAAC16,138,0.009140822802791559,0.009140822802791559
139,YK,139,0.009275836667090153,0.009275836667090153
140,_NormalizedVDWVC2,140,-0.09266597948167767,0.09266597948167767
142,EE,142,0.008897660350029698,0.008897660350029698
143,PAAC21,143,0.05944854114073479,0.05944854114073479
146,MoranAuto_Steric1,146,-0.004900556734587708,0.004900556734587708
147,GearyAuto_ResidueASA10,147,-0.009511902983785934,0.009511902983785934
148,FH,148,-0.005485144877616334,0.005485144877616334
149,QSOSW26,149,-0.024231976520365794,0.024231976520365794
150,CA,150,-0.00652197230806297,0.00652197230806297
153,NA,153,-0.008336808986372977,0.008336808986372977
154,_PolarityD1050,154,-0.005600977130071232,0.005600977130071232
157,MR,157,0.022071698255048452,0.022071698255048452
158,MoranAuto_Hydrophobicity5,158,0.05368072668279359,0.05368072668279359
159,R,159,-0.008546176507428975,0.008546176507428975
160,TA,160,0.005517290599825663,0.005517290599825663
161,NE,161,0.02116894071785423,0.02116894071785423
163,AQ,163,-0.004576158365903532,0.004576158365903532
165,MoranAuto_AvFlexibility8,165,0.015816960558184257,0.015816960558184257
166,FT,166,-0.011401534746490662,0.011401534746490662
167,QSOSW5,167,0.030099499294350195,0.030099499294350195
168,MoranAuto_ResidueVol7,168,0.004885105457121779,0.004885105457121779
170,QSOgrant15,170,0.025985010521147683,0.025985010521147683
171,MoranAuto_Polarizability9,171,-0.009557040873844212,0.009557040873844212
172,IA,172,0.021748412209785146,0.021748412209785146
173,_PolarityD3025,173,0.0462968083817311,0.0462968083817311
174,MQ,174,-0.03131893414324767,0.03131893414324767
175,TR,175,0.005322558651758205,0.005322558651758205
176,MoranAuto_Polarizability3,176,-0.04103230561446324,0.04103230561446324
177,MoreauBrotoAuto_Hydrophobicity6,177,-0.015162195790093622,0.015162195790093622
179,RI,179,-0.02021615609737164,0.02021615609737164
180,QSOSW39,180,-0.07008532892969127,0.07008532892969127
185,MoranAuto_Mutability10,185,-0.010465050917349136,0.010465050917349136
187,_SecondaryStrD3075,187,0.016217549113269503,0.016217549113269503
188,DR,188,0.029546781143557486,0.029546781143557486
191,MoreauBrotoAuto_ResidueASA4,191,-0.032448128071893824,0.032448128071893824
192,PF,192,-0.014402995361657844,0.014402995361657844
194,MoreauBrotoAuto_FreeEnergy17,194,-0.015281093381523784,0.015281093381523784
197,QSOSW3,197,0.01557798498765842,0.01557798498765842
198,GearyAuto_Mutability1,198,-0.010026303825806564,0.010026303825806564
200,MoranAuto_ResidueVol11,200,-0.014679670388933447,0.014679670388933447
201,PAAC19,201,-0.030990060032798215,0.030990060032798215
202,_ChargeD1075,202,0.03584672455020927,0.03584672455020927
203,ET,203,0.010809697675998344,0.010809697675998344
205,GQ,205,-0.0054662035503114815,0.0054662035503114815
207,RT,207,-0.01151102719899982,0.01151102719899982
208,tausw2,208,-0.18829335862462504,0.18829335862462504
209,YD,209,0.008652458251509352,0.008652458251509352
210,MoreauBrotoAuto_FreeEnergy9,210,-0.02213881079837388,0.02213881079837388
211,SV,211,0.010537215158506662,0.010537215158506662
212,_SolventAccessibilityC2,212,0.026260299480483324,0.026260299480483324
214,GM,214,-0.018991213609075085,0.018991213609075085
215,QE,215,0.005085139543440314,0.005085139543440314
216,RC,216,-0.03320699849422483,0.03320699849422483
218,HR,218,0.016026753400775244,0.016026753400775244
220,NR,220,0.010768223628715774,0.010768223628715774
221,VN,221,-0.01452244942223924,0.01452244942223924
225,MoranAuto_Hydrophobicity1,225,0.021404423942282993,0.021404423942282993
227,_PolarizabilityC3,227,-0.14267351395079875,0.14267351395079875
232,RL,232,-0.014303730737509466,0.014303730737509466
233,LG,233,0.027622769667051426,0.027622769667051426
234,LY,234,0.007167393277311388,0.007167393277311388
235,GearyAuto_FreeEnergy8,235,-0.016453044605078414,0.016453044605078414
236,IK,236,0.012090686204943286,0.012090686204943286
237,MK,237,0.021541206038969005,0.021541206038969005
239,YW,239,0.008140641253636463,0.008140641253636463
240,MoranAuto_Hydrophobicity9,240,0.015432012402320611,0.015432012402320611
241,YP,241,-0.007243933075427358,0.007243933075427358
242,_NormalizedVDWVD3050,242,0.008121283998016975,0.008121283998016975
243,FQ,243,0.01252318291204269,0.01252318291204269
244,GW,244,-0.01908467703266747,0.01908467703266747
246,HA,246,0.02207906304937452,0.02207906304937452
247,MoranAuto_Polarizability12,247,-0.011388950723737426,0.011388950723737426
